monitoring_location,stn_code
"Kanoli Canal At Eranjikkal, Kazhekode",3461
"Unthithodu At Eloor, Ernakulam",3467
"Palakkattuthazha- Mthodu At Perumbavoor, Ernakulam",3469
Well At Eloor,19
Well At Chungapally,22
Well At Punalur,35
"Pappanamkode,Thiruvananthapuram",1581
"Nedumangad,Thiruvananthapuram",1582
"Kundara,Kollam Distt.",1583
"Cherthala,Alleppy",1584
"Vyttila,Ernakulam Distt.",1585
Edayar Ernakulam Distt.,1586
Kalamassery Ernakulam Distt.,1587
Punkunnam Trissur Distt.,1588
Malapuram,1589
"Mavoor, Kozhikkode Distt.",1590
Kannur (Municipality) Kannur Disttm,1591
"Payyannur, Kannur Distt.",1592
Fathimapuram (Changanassery),2308
Karoor (Pala),2309
Vaikom,2310
Vadavathoor (Kottayam),2311
"Sarvodapuram, Alappuzha",2313
Kureepuzha (Kollam),2314
K.M.M.L. (Kollam),2315
Chellora Trenching Ground (Kannur),2316
Punnalpettippalam (Tellicherry Municipality,2317
Manjeri,2320
Laloor (Thrissur),2321
Ollur (Thrissur),2322
Brahmapuram M.S.W. Dumpark (Ernakulam),2323
Hazardous Waste Dump (Ambalamughal),2324
Karukamani,2327
"Well At Velliparamba, Kozhekode",3463
"Well Of Temple Parassinikadavu, Kannur",3472
"Well At Payanoor, Kannur",3474
"Well At Karimbam, Kannur",3475
Periyar Near Alwaye-Eloor,17
Periyar At Kalady,18
Chaliyar At Koolimadu,20
Chaliyar At Chungapally,21
"Kallada At Perumthottamkadavu, Punaloor",42
Muvattapuzha At Vettikkattumukku,43
Chalakudy At Pulickalka-Davu,1154
Karamana At Moonnattumukku,1155
Pamba At Chengannur,1156
Periyar At Sewage Discharge Point,1338
Meenachil At Kidangoor,1339
Manimala At Kalloopara,1340
Pamba At Thakazhy,1341
Achenkoil At Thumpamon,1342
Manimala At Thondra,1384
Vamanapuram,1442
Achenkoil At Chennithula,1443
Amaravila,1563
Ayur,1564
Pamba Down,1565
Thirurangady,1566
Kuttiyady Estate,1567
Valayam,1568
Thaliparamba,1569
Hosdurg,1570
Kakkadavu,1571
Padiyathadka,1572
Irumpanam,1573
Neyyar At Aruvipuram,2284
Mamom At Mamom Bridge,2285
Ayroor At Ayroor Bridge,2286
R Ithikkara At Ithikkara,2287
Pallickal At Nellimukal,2288
Karuvannurr At Karuvannur Bridge,2289
Puzhackal At Puzhackal Bridge,2290
Keecheri At Vadakkanchery Bridge,2291
Thirur At Thalakkadathur Bridge,2292
Kadalundi At Hajirappally,2293
Kallai At Kallai Bridge,2294
Corapuzha At Kanayankode,2295
Thallassery At Pathippalam,2296
Ancharakandy At Meruvamba,2297
Kuppam At Rayarom,2298
Ramapuram At Ramapuram Bridge,2299
Peruvamba At Chandappura,2300
Kavvai At Kuttiyol Palam,2301
Neelaswaram At Nambiarkal Dam,2302
Pullur At Pullur Br.,2303
Mogral At Mogral Br.,2304
Shriya At Angadimogaru,2305
Uppala At Uppala Br.,2306
Manjeswar At Bajrakkara Br.,2307
Korayar At Kanjikode,2326
Bharathapuzha At Kuttippuram,2331
Bharathapuzha At Pattambi,2332
Periyar At Muppathadam,2333
Periyar At Pathalam,2334
Periyar At Kalamassery,2335
Periyar At Purappallikavu,2336
Kadambayar At Brahmapuram,2337
Kadambayar At Manckakadavu,2338
"Maniyankode Puzha At Maniyankode Bridge, Wayanad",3459
"Kalpathi Puzha At Kalpathi, Palakkad",3460
"Chaliyar At Nilambur, Malappuram",3464
"Achenkoil At Kallarakadavu, Pathanamthitta",3465
"Achenkoil At Pandalam (Near Ayyappa Temple), Pathanamthitta",3466
"Periyar At Kwa Intake- Aluva, Ernakulam",3468
"Karamana At Aruvikara, Thiruvananthapuram",3471
Oruvathilkotta Lake,1383
Sasthamcotta Lake,1385
Ashthamudi Lake At Quilon,1441
Paravurlake,1574
Kochi (Oil Tanker Jetty),1575
Thekkady Lake,1576
Kodungalloor Lake,1577
Kayamkulam Lake,1578
Alappuzha Lake,1579
Pookote Lake,1580
Lake Vembanadu At Pathiramanal (Alappuzha),2312
Pazhassi Reservoir (Kannur),2318
Rsvr At Malampuzha,2328
Rsvr At Bhoothathanketu,2329
Rsvr At Edamalayar,2330
"Vellayani Lake At Vandithadom, Thiruvananthapuram",3470
Pond At (Padmanabha) Sree Padmanabha Swamy Temple (Tvpm),2325
Mananchira Pond At Kozhekode,3462
Kabbani At Muthankara,1207
Bhavani At Elachivazhy,1208
"Well At Eloor, Kerala",19
"Well At Chungapally, Kerala",22
"Well At Punalur, Kerala",35
"Pappanamkode, Thiruvananthapuram, Kerala",1581
"Kundara, Kollam Distt. , Kerala",1583
"Cherthala, Alleppy, Kerala",1584
"Vyttila, Ernakulam Distt. , Kerala",1585
"Edayar Ernakulam Distt., Kerala",1586
"Kalamassery Ernakulam Distt. , Kerala",1587
"Punkunnam Trissur Distt. , Kerala",1588
"Malapuram , Kerala",1589
"Mavoor, Kozhikkode Distt. , Kerala",1590
"Kannur (Municipality) Kannur Disttm , Kerala",1591
"Payyannur, Kannur Distt. , Kerala",1592
"Oruvathilkotta Lake, Kerala",1383
"Sasthamcotta Lake, Kerala",1385
"Ashthamudi Lake At Quilon, Kerala",1441
"Paravur, Kerala",1574
"Kochi (Oil Tanker Jetty), Kerala",1575
"Thekkady, Kerala",1576
"Kodungalloor, Kerala",1577
"Kayamkulam, Kerala",1578
"Alappuzha, Kerala",1579
"Pookote, Kerala",1580
17,GEN-70EFDF
18,GEN-6F4922
20,GEN-98F137
21,GEN-3C59DC
1156,GEN-E22312
1339,GEN-D10EC7
1340,GEN-4F8765
1341,GEN-33EBD5
1342,GEN-5E1B18
1384,GEN-5CA3E9
1442,GEN-F69E50
1443,GEN-8FB5F8
1563,GEN-4D6E47
1564,GEN-FACF9F
1565,GEN-D961E9
1566,GEN-BE53EE
1567,GEN-18D10D
1568,GEN-DFA92D
1569,GEN-655EA4
1570,GEN-7949E4
1571,GEN-7BD28F
1572,GEN-452BF2
1573,GEN-A1AFC5
2284,GEN-80537A
2285,GEN-AE1EAA
2286,GEN-FA2431
2287,GEN-5B8E4F
2288,GEN-C36142
2290,GEN-117796
2291,GEN-98E6F1
2292,GEN-47810F
2293,GEN-5F6371
2294,GEN-229754
2295,GEN-16026D
2296,GEN-130F1A
2297,GEN-E069EA
2298,GEN-3DE568
2299,GEN-40B5F2
2300,GEN-46A558
2301,GEN-2B45C6
2302,GEN-FFEDF5
2303,GEN-D827F1
2304,GEN-E6C2DC
2305,GEN-2D2CA7
2306,GEN-F976B5
2307,GEN-621108
2319,GEN-A11F9E
2326,GEN-F1E2B2
2331,GEN-273448
2332,GEN-E77DBA
2333,GEN-F7E0B9
2334,GEN-7E3B7A
2335,GEN-7B4773
2336,GEN-A3EB04
2337,GEN-806FEC
2338,GEN-B6CDA1
3458,GEN-E3EA33
3464,GEN-51E6D6
"Kabini At Muthankara, Kerala",1207
"Bhavani At Elachivazhy, Kerala",1208
"Well At Alwaye, Kerala",19
22,GEN-B6D767
35,GEN-1C383C
1583,GEN-076023
1584,GEN-277281
1585,GEN-228499
1586,GEN-8F1979
1587,GEN-49AF6C
1588,GEN-894B77
1589,GEN-DCA567
1590,GEN-BCB41C
1592,GEN-D72FBB
2308,GEN-E58AEA
2309,GEN-F516DF
2310,GEN-49C0B9
2311,GEN-046DDF
2313,GEN-F3AC63
2314,GEN-DB9EEB
2315,GEN-88BFCF
2316,GEN-778609
2320,GEN-A70DC4
2321,GEN-761C79
2322,GEN-228BBC
2324,GEN-D5E2FB
2327,GEN-032550
3463,GEN-73C031
3472,GEN-297478
3474,GEN-E91068
3475,GEN-D38EE1
1574,GEN-0D4F48
1576,GEN-AF5AFD
1577,GEN-7E1D84
1578,GEN-95D309
1579,GEN-ED4227
1580,GEN-DC5C76
2328,GEN-FD69DB
2329,GEN-BE53D2
2330,GEN-619205
"Periyar Near Alwaye- Eloor, Kerala",17
"Chaliyar At Koolimadu, Kerala",20
"Chaliyar At Chungapally, Kerala",21
"Kallada At Perumthottamkadavu, Punaloor, Kerala",42
"Muvattapuzha At Vettikkattumukku, Kerala",43
"Chalakudy At Pulickalka-Davu, Kerala",1154
"Pamba At Chengannur, Kerala",1156
"Periyar At Sewage Discharge Point, Kerala",1338
"Meenachil At Kidangoor, Kerala",1339
"Manimala At Kalloopara, Kerala",1340
"Pamba At Thakazhy, Kerala",1341
"Achenkoil At Thumpamon, Kerala",1342
"Vamanapuram, Kerala",1442
"Achenkoil At Chennithula, Kerala",1443
"Amaravila, Kerala",1563
"Pamba Down, Kerala",1565
"Thirurangady, Kerala",1566
"Kuttiyady Estate, Kerala",1567
"Thaliparamba, Kerala",1569
"Kakkadavu, Kerala",1571
"Padiyathadka, Kerala",1572
"Irumpanam, Kerala",1573
R Neyyar At Aruvipuram,2284
R Karuvannurr At Karuvannur Bridge,2289
R Puzhackal At Puzhackal Bridge,2290
R Keecheri At Vadakkanchery Bridge,2291
R Thirur At Thalakkadathur Bridge,2292
R Kallai At Kallai Bridge,2294
R Kuppam At Rayarom,2298
R Ramapuram At Ramapuram Bridge,2299
R Neelaswaram At Nambiarkal Dam,2302
R Pullur At Pullur Br.,2303
R Mogral At Mogral Br.,2304
R Uppala At Uppala Br.,2306
R Korayar At Kanjikode,2326
R Bharathapuzha At Kuttippuram,2331
R Bharathapuzha At Pattambi,2332
R Kadambayar At Brahmapuram,2337
R Kadambayar At Manckakadavu,2338
"Achenkoil At Pandalam (Near Ayyappa Temple), Patha",3466
"River Karamana At Aruvikara, Thiruvananthapuram",3471
"River Valapattanam At Parassinikadavu, Kannur",3473
10016,GEN-1CE916
10017,GEN-24064E
Kerala,PAMBA
"Well At Pappanamkode, Thiruvananthapuram, Kerala",1581
"Well At Nedumangad, Thiruvananthapuram, Kerala",1582
"Well At Kundara, Kollam Distt. , Kerala",1583
"Well At Cherthala, Alleppy, Kerala",1584
"Well At Vyttila, Ernakulam Distt. , Kerala",1585
"Well At Edayar Ernakulam Distt., Kerala",1586
"Well At Kalamassery Ernakulam Distt. , Kerala",1587
"Well At Punkunnam Trissur Distt. , Kerala",1588
"Well At Mavoor, Kozhikkode Distt. , Kerala",1590
"Well At Kannur (Municipality) Kannur Disttm , Kerala",1591
"Well At Payyannur, Kannur Distt. , Kerala",1592
Well At Fathimapuram (Changanassery),2308
Well At Vadavathoor (Kottayam),2311
"Well At Sarvodapuram, Alappuzha",2313
Well At Chellora Trenching Ground (Kannur),2316
Well At Punnalpettippalam (Tellicherry Municipality,2317
Well At Brahmapuram M.S.W. Dumpark (Ernakulam),2323
Well At Hazardous Waste Dump (Ambalamughal),2324
"Vembanad Lake,Kochi (Oil Tanker Jetty), Kerala",1575
"Periyar Lake At Thekkady, Kerala",1576
Lake Vembanad At Pathiramanal (Alappuzha),2312
Stp Near Pamba River At Pathanamthitta Kerala,20017
Achankovil At Thumpamon,1342
Achankovil At Chennithula,1443
"Achankovil At Kallarakadavu, Pathanamthitta",3465
"Achankovil At Pandalam (Near Ayyappa Temple), Pathanamthitta",3466
Ancharakandy At Ancharakandy,2319
R Ayroor At Ayroor Bridge,2286
R Corapuzha At Kanayankode,2295
"Ayur, Kerala",1564
R Kadalundi At Hajirappally,2293
Karapuzha Dam At Wayanad,3458
"Karamana At Moonnattumukku, Kerala",1155
R Kavvai At Kuttiyol Palam,2301
"Valayam, Kerala",1568
R Mamom At Mamom Bridge,2285
"Manimala At Thondra, Kerala",1384
R Manjeswaram At Bajrakkara Br.,2307
"Hosdurg, Kerala",1570
R Pallickal At Nellimukal,2288
Pamba U/S,10016
Pamba D/S,10017
River Periyar At Muppathadam,2333
River Periyar At Pathalam,2334
R Periyar At Kalamassery,2335
R Periyar At Purappallikavu,2336
R Peruvamba At Chandappura,2300
R Shriya At Angadimogaru,2305
R Thallassery At Pathippalam,2296
"Well At Malapuram , Kerala",1589
Well At Karoor (Pala),2309
Well At Vaikom,2310
Well At Kureepuzha (Kollam),2314
Well At K.M.M.L. (Kollam),2315
Well At Manjeri,2320
Well At Laloor (Thrissur),2321
Well At Ollur (Thrissur),2322
Well At Karukamani,2327
"Palakkattuthazha-Mthodu At Perumbavoor, Ernakulam",3469
River Periyar Near Alwaye-Eloor,17
River Periyar At Kalady,18
River Chaliyar At Koolimadu,20
River Chaliyar At Chungapally,21
"River Kallada At Perumthottamkadavu, Punaloor",42
River Muvattapuzha At Vettikkattumukku,43
"River Chalakudy At Pulickalka-Davu, Kerala",1154
"River Karamana At Moonnattumukku, Kerala",1155
"River Pamba At Chengannur, Kerala",1156
"River Periyar At Sewage Discharge Point, Kerala",1338
"River Meenachil At Kidangoor, Kerala",1339
"River Manimala At Kalloopara, Kerala",1340
"River Pamba At Thakazhy, Kerala",1341
River Achankovil At Thumpamon,1342
"River Manimala At Thondra, Kerala",1384
"River Vamanapuram, Kerala",1442
River Achankovil At Chennithula,1443
"River Neyyar At Amaravila, Kerala",1563
River Ithikkara Kerala,1564
"River Pamba Down, Kerala",1565
"River Thirurangady, Kerala",1566
"River Kuttiyady Estate, Kerala",1567
"River Mahe At Valayam, Kerala",Dsf;s;dl
"River Kuppam Thaliparamba, Kerala",1569
"River Neeleswaram At Hosdurg, Kerala",1570
"River Karingode Kakkadavu, Kerala",1571
"River Chandragiri Padiyathadka, Kerala",1572
"River Chitthrapuzha At Irumpanam, Kerala",1573
River Neyyar At Aruvipuram,2284
River Mamom At Mamom Bridge,2285
River Ayroor At Ayroor Bridge,2286
River Ithikkara At Ithikkara,2287
River Pallickal At Nellimukal,2288
River Karuvannurr At Karuvannur Bridge,2289
River Puzhackal At Puzhackal Bridge,2290
River Keecheri At Vadakkanchery Bridge,2291
River Thirur At Thalakkadathur Bridge,2292
River Kadalundi At Hajirappally,2293
River Kallai At Kallai Bridge,2294
River Corapuzha At Kanayankode,2295
River Thallassery At Pathippalam,2296
River Ancharakandy At Meruvamba,2297
River Kuppam At Rayarom,2298
River Ramapuram At Ramapuram Bridge,2299
River Peruvamba At Chandappura,2300
River Kavvai At Kuttiyol Palam,2301
River Neelaswaram At Nambiarkal Dam,2302
River Pullur At Pullur Br.,2303
River Mogral At Mogral Br.,2304
River Shriya At Angadimogaru,2305
River Uppala At Uppala Br.,2306
River Manjeswaram At Bajrakkara Br.,2307
River Ancharakandy At Ancharakandy,2319
River Korayar At Kanjikode,2326
River Bharathapuzha At Kuttippuram,2331
River Bharathapuzha At Pattambi,2332
River Periyar At Kalamassery,2335
River Periyar At Purappallikavu,2336
River Kadambayar At Brahmapuram,2337
River Kadambayar At Manckakadavu,2338
River Karapuzha Dam At Wayanad,3458
"River Maniyankode Puzha At Maniyankode Bridge, Wayanad",3459
"River Kalpathi Puzha At Kalpathi, Palakkad",3460
"River Chaliyar At Nilambur, Malappuram",3464
"River Achankovil At Kallarakadavu, Pathanamthitta",3465
"River Achankovil At Pandalam (Near Ayyappa Temple), Pathanamthitta",3466
"River Periyar At Kwa Intake- Aluva, Ernakulam",3468
River Pamba U/S,10016
River Pamba D/S,10017
20017,5
Stp Near Pamba At Pathanamthitta Kerala,20017
"River Bhavani At Elachivazhy, Kerala",1208
"River Kabini At Muthankara, Kerala",1207
"Well At Eloor,Ernakulam",19
"Well At Vyttila, Ernakulam Distt. Kerala",1585
"Well At Kalamassery Ernakulam Distt. ,Kerala",1587
Well At Kannur Municipality Kannur,1591
Well At Punnalpettippalam,2317
Well At Brahmapuram M.S.W. Dumpark,2323
Well At Hazardous Waste Dump (Ambalamugal Borewell),2324
"Well At Sri Kirathamoorthy Siva Temple, Kanjikkode, Palakkad",5219
"River Peruvamba At Ettikulam, Kannur",5173
"R. Ancharakkandy At Moidupalam,Dharmadam, Kannur",5174
"Kavvayi Backwaters At Kavvayi, Payyanur",5178
"Beach At Varkala Papanasam, Thiruvananthapuram",5181
"Kmml Chavara, Kollam",5194
"Kochi Lake At Goshree Bridge, Kochi",5182
"Kochi Lake Near Thopumpady, Kochi",5184
"Madhur Bridge Near Madhur Sri Sidhivinayaka Temple, Kasaragod",5244
"Azheekal Port, Azheekode,Kannur",5177
"Azhikode Ferry, Kodungallur,Thrissur",5193
"Beypore Port, Kozhikode",5192
"Manjeshwar River At Bangra-Manjeshwar Bridge,Hosdurg, Kasaragod",5245
"Pazhassi Reservoir, Kannur",2318
River Achankovil At Pandalam,3466
"River Achankovil At Chennithala, Alappuzha",1443
River Ancharakandy At Meruvambayi,2297
River Ayiroor At Ayiroor Bridge,2286
"River Chalakudy At Pulikkakadavu, Thrissur",1154
"River Chithrapuzha At Irumpanam, Kerala",1573
"River Chitturpuzha At Chittur Bridge, Palakkad",5215
River Kadambrayar At Brahmapuram,2337
River Kadambrayar At Manckakadavu,2338
"River Kallada At Mundrothuruth, Kollam",5203
"River Kallada At Kulathupuzha, Kollam",5202
"River Kallayi At Kallayi Bridge, Kozhikode",2294
"River Kallayi At Kothi Bridge, Kozhikode",5225
"River Kallayi At Mooriyadu, Kozhikode",5224
River Kanampuzha In Kannur Muncipality,5176
"River Karamana At Peppara Upstream, Peppara Dam, Thiruvananthapuram",5196
"River Karamana At Thiruvallom, Thiruvananthapuram",5195
River Korapuzha At Kanayankode,2295
"River Korayar Near Naragampally Bridge At Kanjikode, Palakkad",2326
"River Kuppam At Urooteri, Kannur",5234
"River Mahe At Valayam, Kozhikode",1568
"River Meenachil At Kidangoor, Kottayam",1339
"River Muvattupuzha At Peruvammuzhi Bridge, Ernakulam",5211
River Neyyar At Amaravila,1563
"River Pamba At Veeyapuram, Alappuzha",5207
"River Pamba At Chengannur, Alappuzha",1156
"River Pamba At Munnar, Pathanamthitta",5205
"River Pamba Near Thottappally Harbour, Alappuzha",5191
"River Periyar At Panamkutty Bridge, Idukki",5209
River Periyar At Aluva- Eloor,17
"River Periyar At Kwa Intake, Aluva",3468
River Periyar At Purappallikadavu,2336
"River Periyar At Sewage Discharge Point,Aluva, Ernakulam",1338
River Peruvamba At Chandapura,2300
"River Peruvamba At Perumba Bridge, Kannur",5232
River Pullur At Pullur Bridge,2303
"River Puzhakkal At Panchikkal Canal, Thrissur",5213
"River Ramapuram At Kappungal, Kannur",5233
River Shiriya At Angadimogaru,2305
"River Thalassery At Eranjoli Palam, Kannur",5236
"River Thalassery At Koduvally, Kannur",5241
"River Thalassery At Kunduchira, Kannur",5240
River Thalassery At Pathipalam,2296
"River Valapattanam At Pavannur, Kannur",5235
"River Vamanapuram At Vamanapuram, Thiruvananthapuram",1442
"Valapattanam River At Irrity Bridge,Kannur",5239
"Nellikunnu Bridge At Nellikunnu, Kasaragod",5172
Canoli Canal At Eranjikkal,3461
"Palakkattuthazhamthodu At Perumbavoor, Ernakulam",3469
"River Kabani At Muthankara, Wayanad",1207
"River Bhavani At Elachivazhy, Palakkad",1208
"River Papanasini At Thirunelly, Wayanad",5226
"River Kalindi At Bavali, Wayanad",5227
"River Kabani At Muthanga,Wayanad",5228
